,日期,身分,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額口數,多空淨額契約金額,未平倉多方交易口數,未平倉多方契約金額,未平倉空方交易口數,未平倉空方契約金額,未平倉多空淨額口數,未平倉多空淨額契約金額
0,2015-09-25,自營商,19605,31733511,18898,30584682,707,1148830,4845,7857745,9512,15420143,-4667,-7562398
1,2015-09-25,投信,191,309135,845,1369179,-654,-1060045,3950,6413511,7822,12701364,-3872,-6287853
2,2015-09-25,外資,49434,79979108,47839,77405015,1595,2574093,35361,57378088,14078,22843299,21283,34534789
3,2015-09-30,自營商,26929,43620828,26505,42907876,424,712952,5405,8783052,9450,15352452,-4045,-6569400
4,2015-09-30,投信,327,529433,482,783278,-155,-253845,3951,6427813,7946,12928142,-3995,-6500329
5,2015-09-30,外資,45702,74005385,43901,71152193,1801,2853191,37989,61771256,14741,23967944,23248,37803312
6,2015-10-01,自營商,26376,43428582,25277,41649768,1099,1778815,6857,11382176,9882,16395299,-3025,-5013123
7,2015-10-01,投信,694,1145085,398,657750,296,487335,4011,6663359,7655,12718017,-3644,-6054658
8,2015-10-01,外資,46758,77002907,46505,76568154,253,434753,38032,63146336,14266,23684230,23766,39462106
9,2015-10-02,自營商,12118,20087752,12449,20628094,-331,-540342,6278,10384292,9600,15874994,-3322,-5490702
10,2015-10-02,投信,297,492561,486,805040,-189,-312479,3889,6438233,7733,12802755,-3844,-6364522
11,2015-10-02,外資,29569,49011845,32490,53851869,-2921,-4840023,34985,57888504,14379,23791971,20606,34096533
12,2015-10-05,自營商,15701,26151617,13572,22598994,2129,3552624,7760,12920611,8981,14946539,-1221,-2025928
13,2015-10-05,投信,329,548253,382,636050,-53,-87797,3844,6404546,7733,12884725,-3889,-6480179
14,2015-10-05,外資,39491,65761751,40726,67816512,-1235,-2054761,33570,55903123,14514,24170988,19056,31732135
15,2015-10-06,自營商,21107,35506734,21161,35586544,-54,-79810,7349,12291981,8673,14498401,-1324,-2206420
16,2015-10-06,投信,255,428940,328,550600,-73,-121660,3850,6443769,7827,13100833,-3977,-6657064
17,2015-10-06,外資,42238,71020332,41344,69519428,894,1500904,34277,57338711,14240,23820903,20037,33517808
18,2015-10-07,自營商,20920,35298416,21339,36019103,-419,-720688,7444,12631936,9048,15348470,-1604,-2716534
19,2015-10-07,投信,321,542445,276,466556,45,75888,3996,6785762,7890,13398798,-3894,-6613036
20,2015-10-07,外資,40384,68077376,35929,60597388,4455,7479987,38286,64984704,13326,22617949,24960,42366755
21,2015-10-08,自營商,18246,30917097,18807,31868860,-561,-951762,6377,10760726,8597,14499303,-2220,-3738577
22,2015-10-08,投信,357,603826,507,857636,-150,-253810,4104,6929715,8174,13802550,-4070,-6872835
23,2015-10-08,外資,40227,68176859,41558,70448972,-1331,-2272113,36487,61576892,13220,22309404,23267,39267488
24,2015-10-12,自營商,20840,35581115,20435,34894503,405,686613,8002,13675893,9726,16618050,-1724,-2942157
25,2015-10-12,投信,215,367403,583,995654,-368,-628251,3995,6832750,8418,14398007,-4423,-7565257
26,2015-10-12,外資,35892,61265716,34327,58611039,1565,2654677,38869,66444669,13500,23076349,25369,43368320
27,2015-10-13,自營商,15274,26098136,15186,25938856,88,159280,7433,12711359,9165,15667644,-1732,-2956285
28,2015-10-13,投信,221,377280,262,447954,-41,-70674,4082,6985650,8551,14634025,-4469,-7648375
29,2015-10-13,外資,27054,46212122,28598,48854179,-1544,-2642057,36963,63220433,13352,22836343,23611,40384090
30,2015-10-14,自營商,17802,30348001,18585,31673236,-783,-1325235,6468,11013092,9056,15413873,-2588,-4400781
31,2015-10-14,投信,230,392124,382,651344,-152,-259220,4044,6890378,8689,14805895,-4645,-7915517
32,2015-10-14,外資,34448,58732723,34657,59092544,-209,-359822,37207,63358371,13944,23742155,23263,39616216
33,2015-10-15,自營商,25943,44726483,26569,45806677,-626,-1080194,6290,10820687,9647,16591334,-3357,-5770647
34,2015-10-15,投信,1838,3170215,1764,3040546,74,129669,4070,7005886,8633,14860962,-4563,-7855076
35,2015-10-15,外資,40806,70394177,40020,69034856,786,1359322,39914,68672837,15773,27136456,24141,41536381
